week,followers,satisfaction,attendance,revenue,cash,condition
1,2483,17.36,316,9480,105480,100.00
2,2455,17.32,274,8220,109700,100.00
3,2422,17.41,244,7320,113020,100.00
4,2386,16.99,235,7050,116070,100.00
5,2349,16.90,226,6780,106850,100.00
6,2312,16.99,213,6390,109240,100.00
7,2275,17.14,213,6390,111630,100.00
8,2238,16.83,205,6150,113780,100.00
9,2202,16.67,202,6060,103840,100.00
10,2166,17.00,207,6210,106050,100.00
11,2131,16.90,204,6120,108170,100.00
12,2095,16.46,198,5940,110110,100.00
